Date,Adj Close,Close,High,Low,Open,Volume,Ticker,MA10,MA50,Pct_change,Upper_BB,Lower_BB
2024-07-16,46099.86328125,47000.0,47900.0,46800.0,47750.0,43000.0,ACG.VN,,,,,
2024-07-17,44628.58984375,45500.0,47750.0,45500.0,47350.0,86500.0,ACG.VN,,,-3.1914893617021267,,
2024-07-18,44726.67578125,45600.0,46450.0,45350.0,46100.0,14400.0,ACG.VN,,,0.219780219780219,,
2024-07-19,45119.015625,46000.0,46750.0,45500.0,46750.0,26800.0,ACG.VN,,,0.8771929824561431,,
2024-07-22,44236.25,45100.0,46000.0,43000.0,46000.0,59000.0,ACG.VN,,,-1.9565217391304346,,
2024-07-23,41784.12890625,42600.0,45100.0,42500.0,45100.0,41700.0,ACG.VN,,,-5.543237250554323,,
2024-07-24,43157.31640625,44000.0,45550.0,42000.0,42000.0,23600.0,ACG.VN,,,3.2863849765258246,,
2024-07-25,43108.27734375,43950.0,44750.0,42500.0,43950.0,16900.0,ACG.VN,,,-0.1136363636363602,,
2024-07-26,43206.359375,44050.0,44100.0,43200.0,43600.0,15700.0,ACG.VN,,,0.22753128555177415,,
2024-07-29,43157.31640625,44000.0,44100.0,44000.0,44100.0,1600.0,ACG.VN,44780.0,,-0.11350737797957144,,
2024-07-30,43157.31640625,44000.0,44050.0,43000.0,44000.0,5900.0,ACG.VN,44480.0,,0.0,,
2024-07-31,43157.31640625,44000.0,44000.0,43150.0,44000.0,51700.0,ACG.VN,44330.0,,0.0,,
2024-08-01,42078.38671875,42900.0,45900.0,42900.0,43200.0,32000.0,ACG.VN,44060.0,,-2.500000000000002,,
2024-08-02,42421.68359375,43250.0,43950.0,42000.0,42000.0,13800.0,ACG.VN,43785.0,,0.8158508158508049,,
2024-08-05,40214.7734375,41000.0,43250.0,40900.0,43250.0,60800.0,ACG.VN,43375.0,,-5.202312138728327,,
2024-08-06,40214.7734375,41000.0,41900.0,40250.0,41000.0,16300.0,ACG.VN,43215.0,,0.0,,
2024-08-07,40754.23828125,41550.0,42000.0,41000.0,42000.0,17800.0,ACG.VN,42970.0,,1.3414634146341475,,
2024-08-08,40754.23828125,41550.0,42200.0,40500.0,42200.0,13400.0,ACG.VN,42730.0,,0.0,,
2024-08-09,40263.81640625,41050.0,41850.0,41000.0,41000.0,43000.0,ACG.VN,42430.0,,-1.2033694344163681,,
2024-08-12,41489.875,42300.0,42800.0,41050.0,42800.0,18900.0,ACG.VN,42260.0,,3.0450669914738215,45806.592137457264,38713.407862542736
2024-08-13,41195.62109375,42000.0,42200.0,41050.0,42200.0,3900.0,ACG.VN,42060.0,,-0.7092198581560294,45261.87445100522,38858.12554899478
2024-08-14,41195.62109375,42000.0,42200.0,42000.0,42000.0,4100.0,ACG.VN,41860.0,,0.0,44928.49868999912,38791.50131000088
2024-08-15,41146.578125,41950.0,42400.0,41000.0,42000.0,2600.0,ACG.VN,41765.0,,-0.11904761904761862,44633.86645503796,38896.13354496204
2024-08-16,41097.53515625,41900.0,41950.0,41000.0,41000.0,13700.0,ACG.VN,41630.0,,-0.11918951132300348,44132.477719549584,39127.522280450416
2024-08-19,41931.2578125,42750.0,43400.0,42000.0,42000.0,32700.0,ACG.VN,41805.0,,2.028639618138417,44040.973825286965,39569.026174713035
2024-08-20,42372.640625,43200.0,43300.0,42200.0,42750.0,39600.0,ACG.VN,42025.0,,1.0526315789473717,44277.57747106684,39772.42252893316
2024-08-21,41735.08984375,42550.0,43200.0,42500.0,43200.0,12000.0,ACG.VN,42125.0,,-1.504629629629628,44281.867855796554,39968.132144203446
2024-08-22,43010.19140625,43850.0,43850.0,42100.0,42600.0,34000.0,ACG.VN,42355.0,,3.055229142185656,44498.60124925077,40211.39875074923
2024-08-23,42519.765625,43350.0,43800.0,42650.0,43800.0,17000.0,ACG.VN,42585.0,,-1.1402508551881407,44646.240045777246,40523.759954222754
2024-08-26,42176.46875,43000.0,43750.0,42800.0,43750.0,4800.0,ACG.VN,42655.0,,-0.8073817762399127,44609.55608097701,40700.44391902299
