Ticker,Rows,Columns,Has_Close,Close_dtype,Missing_Close_%,First_Date,Last_Date
BBC.VN,153,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
BCE.VN,247,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
BCG.VN,247,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
BCM.VN,247,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
BFC.VN,247,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
BHN.VN,201,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
BIC.VN,247,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
BID.VN,250,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
BKG.VN,247,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
BMC.VN,247,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
BMI.VN,248,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
BMP.VN,247,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
BRC.VN,246,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
BSI.VN,250,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
BSR.VN,120,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
BTP.VN,247,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
BTT.VN,259,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
BVH.VN,247,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
BWE.VN,247,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
CCC.VN,44,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
CCI.VN,187,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
CCL.VN,247,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
CDC.VN,247,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
CHP.VN,247,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
CIG.VN,247,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
CII.VN,247,"['Date', 'Adj Close', 'Close', 'High', 'Low', 'Open', 'Volume', 'Ticker']",True,object,0.0,,2025-07-15
