Date,Adj Close,Close,High,Low,Open,Volume,Ticker
,AST.VN,AST.VN,AST.VN,AST.VN,AST.VN,AST.VN,
2024-07-16,59981.15234375,63200.0,64000.0,62200.0,62300.0,5000,AST.VN
2024-07-17,60076.0625,63300.0,64000.0,62200.0,62400.0,11400,AST.VN
2024-07-18,60076.0625,63300.0,63800.0,62100.0,63800.0,8500,AST.VN
2024-07-19,59126.9921875,62300.0,63700.0,61000.0,62000.0,15200,AST.VN
2024-07-22,56944.13671875,60000.0,62300.0,59600.0,62300.0,35400,AST.VN
2024-07-23,57133.94921875,60200.0,61000.0,60000.0,60000.0,20500,AST.VN
2024-07-24,56564.5078125,59600.0,61000.0,59300.0,61000.0,17700,AST.VN
2024-07-25,56944.13671875,60000.0,60100.0,59500.0,59600.0,22000,AST.VN
2024-07-26,56849.2265625,59900.0,60000.0,58600.0,58600.0,2200,AST.VN
2024-07-29,56849.2265625,59900.0,60200.0,59300.0,60200.0,13700,AST.VN
2024-07-30,56659.4140625,59700.0,59900.0,59000.0,59500.0,13200,AST.VN
2024-07-31,56184.87890625,59200.0,59700.0,58400.0,58400.0,17600,AST.VN
2024-08-01,56184.87890625,59200.0,59500.0,58500.0,59200.0,39600,AST.VN
2024-08-02,56184.87890625,59200.0,59200.0,58000.0,58800.0,17200,AST.VN
2024-08-05,55995.0625,59000.0,59000.0,57400.0,59000.0,33700,AST.VN
2024-08-06,56279.78515625,59300.0,59300.0,58100.0,59000.0,6500,AST.VN
2024-08-07,56754.3203125,59800.0,60000.0,59800.0,60000.0,2100,AST.VN
2024-08-08,55425.625,58400.0,59800.0,56500.0,58500.0,11100,AST.VN
2024-08-09,55805.25,58800.0,58800.0,58400.0,58600.0,3100,AST.VN
2024-08-12,55900.16015625,58900.0,59000.0,58000.0,59000.0,8800,AST.VN
2024-08-13,55140.90234375,58100.0,58700.0,58000.0,58600.0,16300,AST.VN
2024-08-14,55140.90234375,58100.0,58100.0,57800.0,58100.0,8500,AST.VN
2024-08-15,54951.08984375,57900.0,58000.0,57700.0,57700.0,3300,AST.VN
2024-08-16,55995.0625,59000.0,59000.0,57800.0,57800.0,14600,AST.VN
2024-08-19,55900.16015625,58900.0,58900.0,58200.0,58200.0,4300,AST.VN
2024-08-20,55425.625,58400.0,58900.0,58100.0,58900.0,5900,AST.VN
2024-08-21,55330.71484375,58300.0,58800.0,58300.0,58400.0,4800,AST.VN
2024-08-22,55425.625,58400.0,58400.0,58000.0,58300.0,13700,AST.VN
2024-08-23,56944.13671875,60000.0,62000.0,58800.0,62000.0,7100,AST.VN
2024-08-26,55710.34765625,58700.0,60000.0,58700.0,60000.0,6100,AST.VN
2024-08-28,54951.08984375,57900.0,58000.0,57500.0,57900.0,10200,AST.VN
2024-08-29,54666.37109375,57600.0,58500.0,57600.0,57900.0,2400,AST.VN
2024-08-30,54666.37109375,57600.0,57900.0,57400.0,57900.0,5700,AST.VN
2024-09-04,54666.37109375,57600.0,57600.0,57000.0,57600.0,7800,AST.VN
2024-09-05,54666.37109375,57600.0,57600.0,57000.0,57500.0,9300,AST.VN
2024-09-06,54191.8359375,57100.0,57900.0,57000.0,57000.0,7000,AST.VN
2024-09-09,53622.39453125,56500.0,57100.0,56500.0,57100.0,22400,AST.VN
2024-09-10,53147.859375,56000.0,56500.0,56000.0,56500.0,23700,AST.VN
2024-09-11,53052.94921875,55900.0,56000.0,55400.0,55500.0,7400,AST.VN
2024-09-12,54002.0234375,56900.0,57000.0,55500.0,55500.0,17400,AST.VN
2024-09-13,53717.30078125,56600.0,56900.0,56000.0,56900.0,4600,AST.VN
2024-09-16,53242.765625,56100.0,56600.0,55700.0,56500.0,27400,AST.VN
2024-09-17,53242.765625,56100.0,56300.0,55700.0,56100.0,5600,AST.VN
2024-09-18,53052.94921875,55900.0,56100.0,55500.0,56100.0,10700,AST.VN
2024-09-19,53622.39453125,56500.0,56500.0,55800.0,55900.0,13100,AST.VN
2024-09-20,53527.484375,56400.0,57000.0,56200.0,56600.0,5300,AST.VN
2024-09-23,53622.39453125,56500.0,56500.0,56200.0,56500.0,8300,AST.VN
2024-09-24,53622.39453125,56500.0,57000.0,56400.0,57000.0,11300,AST.VN
2024-09-25,54191.8359375,57100.0,57200.0,56200.0,56500.0,20500,AST.VN
2024-09-26,54191.8359375,57100.0,57100.0,56900.0,57100.0,16900,AST.VN
2024-09-27,54096.92578125,57000.0,57300.0,56800.0,57100.0,26500,AST.VN
2024-09-30,54096.92578125,57000.0,57000.0,53400.0,56100.0,14300,AST.VN
2024-10-01,53147.859375,56000.0,57000.0,56000.0,57000.0,12700,AST.VN
2024-10-02,54096.92578125,57000.0,57000.0,55800.0,56000.0,10500,AST.VN
2024-10-03,53147.859375,56000.0,56500.0,56000.0,56000.0,10000,AST.VN
2024-10-04,53242.765625,56100.0,56900.0,56000.0,56000.0,1800,AST.VN
2024-10-07,53717.30078125,56600.0,56900.0,54000.0,55500.0,7600,AST.VN
2024-10-08,52388.60546875,55200.0,56700.0,55000.0,56000.0,6900,AST.VN
2024-10-09,53622.39453125,56500.0,56900.0,55200.0,55300.0,16400,AST.VN
2024-10-10,53812.20703125,56700.0,56800.0,55800.0,56500.0,3700,AST.VN
2024-10-11,53622.39453125,56500.0,56700.0,56400.0,56700.0,1200,AST.VN
2024-10-14,53147.859375,56000.0,56800.0,55500.0,56500.0,5700,AST.VN
2024-10-15,52863.13671875,55700.0,56000.0,55500.0,56000.0,6000,AST.VN
2024-10-16,52293.6953125,55100.0,56200.0,55000.0,55000.0,3100,AST.VN
2024-10-17,52578.41796875,55400.0,55400.0,55100.0,55400.0,2300,AST.VN
2024-10-18,52198.7890625,55000.0,56000.0,55000.0,56000.0,4300,AST.VN
2024-10-21,52198.7890625,55000.0,57000.0,54800.0,57000.0,7400,AST.VN
2024-10-22,52103.8828125,54900.0,55000.0,54400.0,55000.0,13500,AST.VN
2024-10-23,51819.16015625,54600.0,55000.0,54600.0,54900.0,3300,AST.VN
2024-10-24,52008.9765625,54800.0,54800.0,54600.0,54600.0,1800,AST.VN
2024-10-25,52673.32421875,55500.0,55500.0,54000.0,54100.0,9500,AST.VN
2024-10-28,52483.51171875,55300.0,55300.0,54100.0,54100.0,800,AST.VN
2024-10-29,52103.8828125,54900.0,55000.0,54600.0,55000.0,4900,AST.VN
2024-10-31,51439.53515625,54200.0,54600.0,54100.0,54600.0,4100,AST.VN
2024-11-01,51629.34765625,54400.0,54600.0,54000.0,54200.0,8300,AST.VN
2024-11-04,51534.44140625,54300.0,54400.0,54000.0,54000.0,4000,AST.VN
2024-11-06,51914.0703125,54700.0,55300.0,51100.0,54200.0,7600,AST.VN
2024-11-07,52008.9765625,54800.0,54900.0,54800.0,54900.0,2400,AST.VN
2024-11-08,52388.60546875,55200.0,55500.0,54500.0,55000.0,2900,AST.VN
2024-11-11,52483.51171875,55300.0,55400.0,54100.0,55200.0,7900,AST.VN
2024-11-12,52198.7890625,55000.0,55000.0,54400.0,55000.0,800,AST.VN
2024-11-13,51914.0703125,54700.0,55200.0,54200.0,55200.0,4000,AST.VN
2024-11-14,51914.0703125,54700.0,55000.0,54600.0,55000.0,5700,AST.VN
2024-11-15,51914.0703125,54700.0,54700.0,54000.0,54100.0,4200,AST.VN
2024-11-18,51724.2578125,54500.0,54500.0,53800.0,54500.0,4700,AST.VN
2024-11-19,51724.2578125,54500.0,54500.0,54000.0,54500.0,800,AST.VN
2024-11-20,51724.2578125,54500.0,54900.0,54300.0,54300.0,8200,AST.VN
2024-11-21,52103.8828125,54900.0,54900.0,54500.0,54500.0,12000,AST.VN
2024-11-22,52982.0390625,54300.0,54300.0,54000.0,54000.0,1400,AST.VN
2024-11-25,51811.1640625,53100.0,53400.0,53100.0,53200.0,6600,AST.VN
2024-11-26,51908.73828125,53200.0,53900.0,53200.0,53200.0,1500,AST.VN
2024-11-27,53177.18359375,54500.0,55700.0,53200.0,53200.0,1800,AST.VN
